name,codename,architecture,coresTotal,coresPhysical,speedGzMin,speedGzMax,socket,technologyNodeUnit,technologyNodeValue,cacheL3Unit,cacheL3Size,thermalDesignPowerUnit,thermalDesignPowerValue,released
EPYC 7373X,Milan-X,x86_64,32,16,3.05,3.8,SP3,nanometers,7,MB,768,watts,240,2022-03-22
EPYC 7473X,Milan-X,x86_64,48,24,2.8,3.7,SP3,nanometers,7,MB,768,watts,240,2022-03-22
EPYC 7543,Milan,x86_64,64,32,2.8,3.7,SP3,nanometers,7,MB,256,watts,225,2021-03-15
EPYC 7573X,Milan-X,x86_64,64,32,2.8,3.6,SP3,nanometers,7,MB,768,watts,280,2022-03-22
EPYC 75F3,Milan,x86_64,64,32,2.95,4,SP3,nanometers,7,MB,256,watts,280,2021-03-15
EPYC 7643,Milan,x86_64,96,48,2.3,3.6,SP3,nanometers,7,MB,256,watts,225,2021-03-15
EPYC 7663,Milan,x86_64,112,56,2,3.5,SP3,nanometers,7,MB,256,watts,240,2021-03-15
EPYC 7713,Milan,x86_64,128,64,2,3.675,SP3,nanometers,7,MB,256,watts,225,2021-03-15
EPYC 7713P,Milan,x86_64,128,64,2,3.675,SP3,nanometers,7,MB,256,watts,225,2021-03-15
EPYC 7763,Milan,x86_64,128,64,2.45,3.5,SP3,nanometers,7,MB,256,watts,280,2021-03-15
EPYC 7773X,Milan-X,x86_64,128,64,2.2,3.5,SP3,nanometers,7,MB,768,watts,280,2022-03-22
Ryzen 3 4100,Renoir,x86_64,8,4,3.8,4,AM4,nanometers,7,MB,8,watts,65,2022-04-04
Ryzen 5 4500,Renoir,x86_64,12,6,3.6,4.1,AM4,nanometers,7,MB,8,watts,65,2022-04-04
Ryzen 5 5500,Cezanne,x86_64,12,6,3.6,4.2,AM4,nanometers,7,MB,16,watts,65,2022-04-04
Ryzen 5 5600,Vermeer,x86_64,12,6,3.5,4.4,AM4,nanometers,7,MB,32,watts,65,2022-04-20
Ryzen 7 5700X,Vermeer,x86_64,16,8,3.4,4.6,AM4,nanometers,7,MB,32,watts,65,2022-04-04
Ryzen 7 5800X3D,Vermeer,x86_64,16,8,3.4,4.5,AM4,nanometers,7,MB,96,watts,105,2022-04-20
Ryzen Threadripper 5990X,Chagall,x86_64,128,64,2.5,4.45,TRX4,nanometers,7,MB,256,watts,280,
Ryzen Threadripper PRO 5945WX,Chagall PRO,x86_64,24,12,4.1,4.5,WRX8,nanometers,7,MB,64,watts,280,2022-03-08
Ryzen Threadripper PRO 5955WX,Chagall PRO,x86_64,32,16,4,4.5,WRX8,nanometers,7,MB,64,watts,280,2022-03-08
Ryzen Threadripper PRO 5965WX,Chagall PRO,x86_64,48,24,3.8,4.5,WRX8,nanometers,7,MB,128,watts,280,2022-03-08
Ryzen Threadripper PRO 5975WX,Chagall PRO,x86_64,64,32,3.6,4.5,WRX8,nanometers,7,MB,128,watts,280,2022-03-08
Ryzen Threadripper PRO 5995WX,Chagall PRO,x86_64,128,64,2.7,4.5,WRX8,nanometers,7,MB,256,watts,280,2022-03-08
Core i3-10105F,Comet Lake-R,x86_64,8,4,3.7,4.4,1200,nanometers,14,MB,6,watts,65,2021-03-16
Core i3-12100F,Alder Lake-S,x86_64,8,4,3.3,4.3,1700,nanometers,10,MB,12,watts,58,2022-01-01
Core i5-11400F,Rocket Lake,x86_64,12,6,2.6,4.4,1200,nanometers,14,MB,12,watts,65,2021-03-16
Core i5-11600,Rocket Lake,x86_64,12,6,2.8,4.8,1200,nanometers,14,MB,12,watts,65,2021-03-16
Core i5-11600KF,Rocket Lake,x86_64,12,6,3.9,4.9,1200,nanometers,14,MB,12,watts,125,2021-03-16
Core i5-12400F,Alder Lake-S,x86_64,12,6,2.5,4.4,1700,nanometers,10,MB,18,watts,65,2022-01-04
Core i5-12490F,Alder Lake-S,x86_64,12,6,3,4.6,1700,nanometers,10,MB,20,watts,65,2022
Core i5-12600KF,Alder Lake-S,x86_64,16,10,3.7,4.9,1700,nanometers,10,MB,20,watts,125,2021-11-04
Core i5-13600KF,Raptor Lake-S,x86_64,20,14,3.5,5.1,1700,nanometers,10,MB,24,watts,125,2022-09-27
Core i7-11700F,Rocket Lake,x86_64,16,8,2.5,4.9,1200,nanometers,14,MB,16,watts,65,2021-03-16
Core i7-11700KF,Rocket Lake,x86_64,16,8,3.6,5,1200,nanometers,14,MB,16,watts,125,2021-03-16
Core i7-12700F,Alder Lake-S,x86_64,20,12,3.3,4.9,1700,nanometers,10,MB,25,watts,65,2022-01-04
Core i7-12700KF,Alder Lake-S,x86_64,20,12,3.6,5,1700,nanometers,10,MB,25,watts,125,2021-11-04
Core i7-13700KF,Raptor Lake-S,x86_64,24,16,3.4,5.4,1700,nanometers,10,MB,30,watts,125,2022-09-27
Core i9-11900F,Rocket Lake,x86_64,16,8,2.5,5.2,1200,nanometers,14,MB,16,watts,65,2021-03-16
Core i9-11900KF,Rocket Lake,x86_64,16,8,3.5,5.3,1200,nanometers,14,MB,16,watts,125,2021-03-16
Core i9-12900F,Alder Lake-S,x86_64,24,16,2.4,5.1,1700,nanometers,10,MB,30,watts,65,2022-01-04
Core i9-12900KF,Alder Lake-S,x86_64,24,16,3.2,5.2,1700,nanometers,10,MB,30,watts,125,2021-11-04
Core i9-13900KF,Raptor Lake-S,x86_64,32,24,3,5.8,1700,nanometers,10,MB,36,watts,125,2022-09-27
Xeon E-2314,Rocket Lake-E,x86_64,4,4,2.8,4.5,1200,nanometers,14,MB,8,watts,65,2021-09-08
Xeon E-2334,Rocket Lake-E,x86_64,8,4,3.4,4.8,1200,nanometers,14,MB,8,watts,65,2021-09-08
Xeon E-2336,Rocket Lake-E,x86_64,12,6,2.9,4.8,1200,nanometers,14,MB,12,watts,65,2021-09-08
Xeon E-2378,Rocket Lake-E,x86_64,16,8,2.6,4.8,1200,nanometers,14,MB,16,watts,65,2021-09-08
Xeon Gold 5315Y,Ice Lake-SP,x86_64,16,8,3.2,3.6,4189,nanometers,10,MB,12,watts,140,2021-04-06
Xeon Gold 5317,Ice Lake-SP,x86_64,24,12,3,3.6,4189,nanometers,10,MB,18,watts,150,2021-04-06
Xeon Gold 5318H,Cooper Lake-SP,x86_64,36,18,2.5,3.8,4189,nanometers,14,MB,24.75,watts,150,2021-04-06
Xeon Gold 5318N,Ice Lake-SP,x86_64,48,24,2.1,3.4,4189,nanometers,10,MB,36,watts,150,2021-04-06
Xeon Gold 5318S,Ice Lake-SP,x86_64,48,24,2.1,3.4,4189,nanometers,10,MB,36,watts,165,2021-04-06
Xeon Gold 5318Y,Ice Lake-SP,x86_64,48,24,2.1,3.4,4189,nanometers,10,MB,36,watts,165,2021-04-06
Xeon Gold 5320,Ice Lake-SP,x86_64,52,26,2.2,3.4,4189,nanometers,10,MB,39,watts,185,2021-04-06
